TC,TC_Description,TC_Main_Category,TC_Sub_Category
0FILA,Customizing LAE Initial Screen,FI,Lease Accounting
0K01,List of Costing Variants,CO,Product Cost Planning
0KE0,EC-PCA: Transfer prog. for act. data,Enterprice Controlling,Profit Center Accounting
0KE1,EC-PCA: Delete Transaction Data,Enterprice Controlling,Profit Center Accounting
0KE2,EC-PCA: Del. Profit Ctr Master Data,Enterprice Controlling,Profit Center Accounting
0KE3,EC-PCA:Delete Transaction Data(Bkgd),Enterprice Controlling,Basic Settings
0KE4,EC-PCA: Update settings,Enterprice Controlling,Basic Settings
0KE6,EC-PCA: Average Balance Ledger,Enterprice Controlling,Basic Settings
0KE7,EC-PCA: Maintain Time-Based Fields,Enterprice Controlling,Profit Center Accounting
0KEA,EC-PCA: Maintain report tree,Enterprice Controlling,Basic Settings
0KEB,EC-PCA: Generate reports,Enterprice Controlling,Profit Center Accounting
0KEJ,Account Determination PC Allocation,Enterprice Controlling,Profit Center Accounting
0KEM,EC-PCA: Maintain substitutions,Enterprice Controlling,Profit Center Accounting
0KEP,EC-PCA:Transport Environ/Master Data,Enterprice Controlling,Basic Settings
0KEQ,EC-PCA: Transport Master Data,Enterprice Controlling,Basic Settings
0KER,EC-PCA: Transport Planning,Enterprice Controlling,Basic Settings
0KES,EC-PCA: Transport Actual Settings,Enterprice Controlling,Basic Settings
0KET,EC-PCA: Transport Information System,Enterprice Controlling,Basic Settings
0KEU,EC-PCA: Transport Cycles,Enterprice Controlling,Basic Settings
0KEW,EC-PCA: Conv. RW reports 2.x -> 3.0,Enterprice Controlling,Basic Settings
0KEX,EC-PCA: Conv. totals recs 2.x ->3.0,Enterprice Controlling,Basic Settings
0KEY,EC-PCA: Conv.act.line items 2.x->3.0,Enterprice Controlling,Basic Settings
0KEZ,EC-PCA:Conv.plan line items 2.x->3.0,Enterprice Controlling,Basic Settings
0KM1,CO Variant Maintenance: Cost Centers,CO,Overhead Cost Controlling
0KMV,List Variants; CCA/ABC Master Data,CO,Overhead Cost Controlling
0KW3,CO Variant Maintenance: CO-OM-ABC,CO,Overhead Cost Controlling
0KW7,Master Data Report: Cost Objects,CO,Activity-Based Costing
0KW9,Import Business Process Reports,CO,Activity-Based Costing
0KWD,Delete Business Processes,CO,Overhead Cost Controlling
0KWM,Activity Based Costing: Customizing,CO,Activity-Based Costing
0KWO,Maintain Search Help for Bus. Proc.,CO,Activity-Based Costing
0KWP,Display Search Help for Bus. Proc.,CO,Activity-Based Costing
0KWT,CO-OM-ABC: Transport Customizing,CO,Activity-Based Costing
0REP,Start of program; etc. from IMG,Basis,System Audit Information System
0VT0,Maintain Selection Variants,Logistics Execution,Transportation
0VTE,Multiple Maintenance Route Stages,Logistics Execution,Transportation
0VTH,Insert Material Cumulation to TPS,Logistics Execution,Transportation
0VTI,Copy Material Cumulation to TPS,Logistics Execution,Transportation
0VTS,Copy TPS Route Restrictions,Logistics Execution,Transportation
0VTT,Create TPS Route Restrictions,Logistics Execution,Transportation
0VX0,Maintain Selection Variants - Japan,SD,Basic Functions
0VX3,Selection variants - Customs decl JP,SD,Basic Functions
1KE0,EC-PCA: Transfer prog. for plan data,Enterprice Controlling,Profit Center Accounting
1KE1,EC-PCA: Analyze Settings,Enterprice Controlling,Profit Center Accounting
1KE3,EC-PCA: Rebuild matchcodes,Enterprice Controlling,Profit Center Accounting
1KE4,EC-PCA: Customizing monitor,Enterprice Controlling,Profit Center Accounting
1KE6,EC-PCA: Maintain Matchcode,Enterprice Controlling,Profit Center Accounting
1KE8,Post FI data,Enterprice Controlling,Profit Center Accounting
1KE9,Post Data SD -> EC-PCA,Enterprice Controlling,Profit Center Accounting
1KEA,Post Selected Data CO -> EC-PCA,Enterprice Controlling,Profit Center Accounting
1KEC,Post MM data to EC-PCA,Enterprice Controlling,Basic Settings
1KED,Transfer Statistical Key Figures,Enterprice Controlling,Profit Center Accounting
1KEE,EC-PCA: Plan Statistical Key Figures,Enterprice Controlling,Profit Center Accounting
1KEG,Callup view maintenance with COArea,Enterprice Controlling,Basic Settings
1KEH,EC-PCA: Transfer Material Stocks,Enterprice Controlling,Profit Center Accounting
1KEI,EC-PCA: Transfer Assets,Enterprice Controlling,Profit Center Accounting
1KEJ,EC-PCA: Transfer Work in Process,Enterprice Controlling,Profit Center Accounting
1KEK,EC-PCA:Transfer Payables/Receivables,Enterprice Controlling,Profit Center Accounting
1KEL,EC-PCA: Create Document,Enterprice Controlling,Profit Center Accounting
2KEE,Profit Center: Totals Records,Enterprice Controlling,Profit Center Accounting
2KEM,EC-PCA: Account Valuation Variances,Enterprice Controlling,Basic Settings
2KES,Profit center: Balance carr`d forw.,Enterprice Controlling,Profit Center Accounting
2KET,EC-PCA: Allow Balance Carryforward,Enterprice Controlling,Basic Settings
2KEU,Copy Cost Center Hierarchy,Enterprice Controlling,Basic Settings
2KEV,Copy cost centers,Enterprice Controlling,Basic Settings
3KE1,EC-PCA: Create Actual Assessment,Enterprice Controlling,Profit Center Accounting
3KE1N,EC-PCA: Create Actual Assessment,CO,Profitability Analysis
3KE2,EC-PCA: Change Actual Assessment,Enterprice Controlling,Profit Center Accounting
3KE2N,EC-PCA: Change Actual Assessment,CO,Profitability Analysis
3KE3,EC-PCA: Display Actual Assessment,Enterprice Controlling,Profit Center Accounting
3KE3N,EC-PCA: Display Actual Assessment,CO,Profitability Analysis
3KE4,EC-PCA: Delete Actual Assessment,Enterprice Controlling,Profit Center Accounting
3KE4N,EC-PCA: Delete Actual Assessment,CO,Profitability Analysis
3KE5,EC-PCA: Execute Actual Assessment,Enterprice Controlling,Profit Center Accounting
3KE6,EC-PCA: Actual Assessment Overview,Enterprice Controlling,Profit Center Accounting
3KE7,EC-PCA: Create Plan Assessment,Enterprice Controlling,Profit Center Accounting
3KE7N,EC-PCA: Create Plan Assessment,CO,Profitability Analysis
3KE8,EC-PCA: Change Plan Assessment,Enterprice Controlling,Profit Center Accounting
3KE8N,EC-PCA: Change Plan Assessment,CO,Profitability Analysis
3KE9,EC-PCA: Display Plan Assessment,Enterprice Controlling,Profit Center Accounting
3KE9N,EC-PCA: Display Plan Assessment,CO,Profitability Analysis
3KEA,EC-PCA: Delete Plan Assessment,Enterprice Controlling,Profit Center Accounting
3KEAN,EC-PCA: Delete Plan Assessment,CO,Profitability Analysis
3KEB,EC-PCA: Execute Plan Assessment,Enterprice Controlling,Profit Center Accounting
3KEC,EC-PCA: Plan Assessment Overview,Enterprice Controlling,Profit Center Accounting
3KEI,Derive Default Profit Center,Enterprice Controlling,Basic Settings
3KOV,Cycle Overview,Enterprice Controlling,Profit Center Accounting
4KE1,EC-PCA: Create Actual Distribution,Enterprice Controlling,Profit Center Accounting
4KE1N,EC-PCA: Create Actual Distribution,CO,Profitability Analysis
4KE2,EC-PCA: Change Actual Distribution,Enterprice Controlling,Profit Center Accounting
4KE2N,EC-PCA: Change Actual Distribution,CO,Profitability Analysis
4KE3,EC-PCA: Display Actual Distribution,Enterprice Controlling,Profit Center Accounting
4KE3N,EC-PCA: Display Actual Distribution,CO,Profitability Analysis
4KE4,EC-PCA: Delete Actual Distribution,Enterprice Controlling,Profit Center Accounting
4KE4N,EC-PCA: Delete Actual Distribution,CO,Profitability Analysis
4KE5,EC-PCA: Execute Actual Distribution,Enterprice Controlling,Profit Center Accounting
4KE6,EC-PCA: Actual Distribution Overview,Enterprice Controlling,Profit Center Accounting
4KE7,EC-PCA: Create Plan Distribution,Enterprice Controlling,Profit Center Accounting
4KE7N,EC-PCA: Create Plan Distribution,CO,Profitability Analysis
4KE8,EC-PCA: Change Plan Distribution,Enterprice Controlling,Profit Center Accounting
4KE8N,EC-PCA: Change Plan Distribution,CO,Profitability Analysis
4KE9,EC-PCA: Display Plan Distribution,Enterprice Controlling,Profit Center Accounting
4KE9N,EC-PCA: Display Plan Distribution,CO,Profitability Analysis
4KEA,EC-PCA: Delete Plan Distribution,Enterprice Controlling,Profit Center Accounting
4KEAN,EC-PCA: Delete Plan Distribution,CO,Profitability Analysis
4KEB,EC-PCA: Execute Plan Distribution,Enterprice Controlling,Profit Center Accounting
4KEC,EC-PCA: Plan Distribution Overview,Enterprice Controlling,Profit Center Accounting
4KED,EC-PCA: Supplement Allocation Cycles,Enterprice Controlling,Basic Settings
5NZI,Number range maintenance: RP_IRCERT,Payroll,New Zealand
5NZL,Leave View Transaction,Payroll,New Zealand
5NZT,New Zealand Terminations,Payroll,New Zealand
6KEA,Profit Center: Display Changes,Enterprice Controlling,Distribution (ALE)
7KE1,Change Plan Costs/Revenues,Enterprice Controlling,Profit Center Accounting
7KE2,Display Plan Costs/Revenues,Enterprice Controlling,Profit Center Accounting
7KE3,Change Plan Inventories,Enterprice Controlling,Profit Center Accounting
7KE4,Display Plan Inventories,Enterprice Controlling,Profit Center Accounting
7KE5,Change Plan Statisitcal Key Figures,Enterprice Controlling,Profit Center Accounting
7KE6,Display Plan Statisitcal Key Figures,Enterprice Controlling,Profit Center Accounting
7KEA,Create Planning Layout for Costs/Rev,Enterprice Controlling,Profit Center Accounting
7KEB,Change Planning Layout for Costs/Rev,Enterprice Controlling,Profit Center Accounting
7KEC,Display Planning Layout for Cost/Rev,Enterprice Controlling,Profit Center Accounting
7KEF,Create Planning Layout for Inventory,Enterprice Controlling,Profit Center Accounting
7KEG,Change Planning Layout for Inventory,Enterprice Controlling,Profit Center Accounting
7KEH,Display Planning Lyt for Inventory,Enterprice Controlling,Profit Center Accounting
7KEI,Transport Planning Layouts,Enterprice Controlling,Profit Center Accounting
7KEJ,Import Planning Layouts,Enterprice Controlling,Profit Center Accounting
7KEK,Create Stat. KF Planning Layout,Enterprice Controlling,Profit Center Accounting
7KEL,Change Stat. KF Planning Layout,Enterprice Controlling,Profit Center Accounting
7KEM,Display Stat. KF Planning Layout,Enterprice Controlling,Profit Center Accounting
7KEO,Correction of Plan Bals with PCA,Enterprice Controlling,Profit Center Accounting
7KEP,Set Planner Profile,Enterprice Controlling,Profit Center Accounting
7KEQ,EC-PCA: Reorganize Long Texts,Enterprice Controlling,Profit Center Accounting
7KER,Call Up Planning with Initial Screen,Enterprice Controlling,Profit Center Accounting
7KES,EC-PCA: Carry Forward Plan Balance,Enterprice Controlling,Profit Center Accounting
7KET,Execute Formula Planning,Enterprice Controlling,Profit Center Accounting
7KEV,Copy data to plan,Enterprice Controlling,Profit Center Accounting
7KEX,Flexible Excel Upload,Enterprice Controlling,Profit Center Accounting
7KEY,Log: Flexible Excel Upload,Enterprice Controlling,Profit Center Accounting
8KE1,PCA: Rollup: Create Field Assignment,Enterprice Controlling,Basic Settings
8KE2,PCA: Rollup: Change Field Assignment,Enterprice Controlling,Basic Settings
8KE3,PCA: Rollup: Display Field Assignmnt,Enterprice Controlling,Basic Settings
8KE6,PCA: Delete Rollup Field Assignment,Enterprice Controlling,Basic Settings
8KEA,Create Cond. Table (Price/Prof. Ctr),Enterprice Controlling,Basic Settings
8KEB,Change Cond. Table (Price/Prof. Ctr),Enterprice Controlling,Basic Settings
8KEC,Display Cond.Table (Price/Prof. Ctr),Enterprice Controlling,Basic Settings
8KEG,Create Condition List,Enterprice Controlling,Basic Settings
8KEO,Assign Representative Material,Enterprice Controlling,Basic Settings
8KEP,Activate Cur.+Val. Profile in COArea,Enterprice Controlling,Basic Settings
8KER,Derive Partner Profit Center: Sales,Enterprice Controlling,Basic Settings
8KES,Derive Partner Profit Center: Purch.,Enterprice Controlling,Basic Settings
8KET,Derive Costing Key,Enterprice Controlling,Basic Settings
8KET4,Opening Balance for PCA Costing,Enterprice Controlling,Basic Settings
8KET5,Valuation for Calculation Base,Enterprice Controlling,Basic Settings
8KET7,Set up Profit Planning,Enterprice Controlling,Basic Settings
8KEU,Deactivate C&V Profile in CO Area,Enterprice Controlling,Basic Settings
8KEV,CO-PA Pricing,Enterprice Controlling,Basic Settings
8KEW,EC-PCA/CO-PA Pricing,Enterprice Controlling,Basic Settings
8KEZ,EC-PCA Transfer Pricing,Enterprice Controlling,Basic Settings
9KE0,Create Profit Center Document,Enterprice Controlling,Profit Center Accounting
9KE1,Change Cost/Revenue Balances,Enterprice Controlling,Profit Center Accounting
9KE2,Display Cost/Revenue Balances,Enterprice Controlling,Profit Center Accounting
9KE3,Change Balance Sheet Accnt Balances,Enterprice Controlling,Profit Center Accounting
9KE4,Display Balance Sheet Accnt Balances,Enterprice Controlling,Profit Center Accounting
9KE5,Change Statistical Key Fig. Balances,Enterprice Controlling,Profit Center Accounting
9KE6,Display Statist. Key Figure Balances,Enterprice Controlling,Profit Center Accounting
9KE7,Change Actual Document,Enterprice Controlling,Profit Center Accounting
9KE8,Display Actual Document,Enterprice Controlling,Profit Center Accounting
9KE9,Display Profit Center Document,Enterprice Controlling,Profit Center Accounting
9KEA,Create Layout for Cost/Revenue Bals,Enterprice Controlling,Profit Center Accounting
9KEB,Change Layout for Cost/Revenue Bals,Enterprice Controlling,Profit Center Accounting
9KEC,Display Layout for Cost/Revenue Bals,Enterprice Controlling,Profit Center Accounting
9KED,EC-PCA: Reverse Local Actual Doc.,Enterprice Controlling,Profit Center Accounting
9KEF,Create Layout for Stock Balances,Enterprice Controlling,Profit Center Accounting
9KEG,Change Layout for Stock Balances,Enterprice Controlling,Profit Center Accounting
9KEH,Display Layout for Stock Balances,Enterprice Controlling,Profit Center Accounting
9KEI,Transport Layout,Enterprice Controlling,Profit Center Accounting
9KEJ,Import Layout,Enterprice Controlling,Profit Center Accounting
9KEK,Create Layout for Entering ActStatKF,Enterprice Controlling,Profit Center Accounting
9KEL,Change Layout for Entering ActStatKF,Enterprice Controlling,Profit Center Accounting
9KEM,Display Layout for Entering AcStatKF,Enterprice Controlling,Profit Center Accounting
9KEN,Create Layout for Doc. with Stat. KF,Enterprice Controlling,Profit Center Accounting
9KEO,Change Layout for Doc. with Stat. KF,Enterprice Controlling,Profit Center Accounting
9KEP,Display Layout for Doc. with Stat.KF,Enterprice Controlling,Profit Center Accounting
9KEQ,Reorg. of Actual EC-PCA Long Texts,Enterprice Controlling,Profit Center Accounting
9KER,Reverse Local Actual Documents,Enterprice Controlling,Profit Center Accounting
9KES,Create Layout for Actual Doc. Entry,Enterprice Controlling,Profit Center Accounting
9KET,Change Layout for Actual Doc. Entry,Enterprice Controlling,Profit Center Accounting
9KEU,Display Layout for Actual Doc. Entry,Enterprice Controlling,Profit Center Accounting
9KEX,Flexible Actual Excel Upload,Enterprice Controlling,Profit Center Accounting
9KEY,Log for Flexible Actual Excel Upload,Enterprice Controlling,Profit Center Accounting
AAVN,Recalculate base insurable value,FI,Basic Functions
AB01,Create asset transactions,FI,Basic Functions
AB02,Change asset document,FI,Basic Functions
AB03,Display Asset Document,FI,Basic Functions
AB08,Reverse Line Items,FI,Basic Functions
ABAA,Unplanned depreciation,FI,Basic Functions
ABAD,Asset Retire. frm Sale w/ Customer,FI,Basic Functions
ABAD0,Derivation: Initial Screen,Cross Application,General Application Functions
ABAKN,Last Retirement on Group Asset,FI,Basic Functions
ABAON,Asset Sale Without Customer,FI,Basic Functions
ABAV,Asset Retirement by Scrapping,FI,Basic Functions
ABAVN,Asset Retirement by Scrapping,FI,Basic Functions
ABAW,Balance sheet revaluation,FI,Basic Functions
ABCO,Adjustment Posting to Areas,FI,Basic Functions
ABF1,Post Document,FI,Basic Functions
ABGF,Credit Memo in Year after Invoice,FI,Basic Functions
ABGL,Enter Credit Memo in Year of Invoice,FI,Basic Functions
ABIF,Investment support,FI,Basic Functions
ABMA,Manual depreciation,FI,Basic Functions
ABMR,Manual transfer of reserves,FI,Basic Functions
ABMW,Reverse asset trans. using doc. no.,FI,Basic Functions
ABNA,Post-capitalization,FI,Basic Functions
ABNAN,Post-Capitalization,FI,Basic Functions
ABNC,Enter post-capitalization,FI,Basic Functions
ABNE,Subsequent Revenue,FI,Basic Functions
ABNK,Subsequent Costs,FI,Basic Functions
ABNV,Number range maint: FIAA-BELNR,Not_Found,Not_Found
ABSO,Miscellaneous Transactions,FI,Basic Functions
ABST,Reconciliation Analysis FI-AA,FI,Basic Functions
ABST2,Reconciliation Analysis FI-AA,FI,Information System
ABT1,Intercompany Asset Transfer,FI,Basic Functions
ABT1N,Intercompany Asset Transfer,FI,Basic Functions
ABUB,Transfer between areas,FI,Basic Functions
ABUM,Transfer From,FI,Basic Functions
ABUMN,Transfer within Company Code,FI,Basic Functions
ABZE,Acquisition from in-house production,FI,Basic Functions
ABZK,Acquisition from purchase w. vendor,FI,Basic Functions
ABZO,Asset acquis. autom. offset. posting,FI,Basic Functions
ABZON,Acquis. w/Autom. Offsetting Entry,FI,Basic Functions
ABZP,Acquistion from affiliated company,FI,Basic Functions
ABZS,Enter write-up,FI,Basic Functions
